player,country,pos,branch,model,,,
Navas,Costa Rica,1,adidas,predator,,,
ter Stegen,Germany,1,adidas,predator,,,
Oblak,Slovenia,1,nike,tiempo,,,
Rico,Spain,1,adidas,predator,,,
Buffon,Italy,1,puma,one,,,
Allison,Brazil,1,nike,mercurial,,,
Karius,Germany,1,adidas,x,,,
De Gea,Spain,1,adidas,x,,,
Courtois,Belgium,1,nike,magista,,,
Cech,Czech Rep.,1,puma,future,,,
Lloris,France,1,nike,tiempo,,,
Ederson,Brazil,1,nike,magista,,,
Bravo,Chile,1,adidas,predator,,,
Schmeichel,Denmark,1,adidas,x,,,
Neuer,Germany,1,adidas,predator,,,
Bürki,Switzerland,1,nike,hipervenom,,,
Areola,France,1,nike,hipervenom,,,
Subasic,Croatia,1,nike,tiempo,,,
Casillas,Spain,1,adidas,predator,,,
Rui Patricio,Portugal,1,puma,one,,,
Carvajal,Spain,2,nike,magista,,,
Nacho,Spain,2,adidas,predator,,,
Juanfran,Spain,2,adidas,x,,,
Lichtsteiner,Switzerland,2,puma,one,,,
Alexander-Arnold,England,2,UA,magnetico,,,
Ivanovic,Serbia,2,nike,tiempo,,,
Danilo,Brazil,2,nike,mercurial,,,
Kimmich,Germany,2,nike,magista,,,
Piszczek,Poland,2,nike,mercurial,,,
Alves,Brazil,2,nike,mercurial,,,
Marcelo,Brazil,2,adidas,x,,,
Alba,Spain,2,adidas,x,,,
Filipe Luis,Brazil,2,adidas,nemeziz,,,
Hernández,France,2,nike,tiempo,,,
Alex Sandro,Brazil,2,nike,mercurial,,,
Robertson,Scotland,2,nike,magista,,,
Evra,France,2,nike,magista,,,
Alaba,Austria,2,adidas,nemeziz,,,
Schmelzer,Germany,2,puma,one,,,
Guerreiro,Portugal,2,adidas,x,,,
Ramos,Spain,3,nike,tiempo,,,
Varane,France,3,nike,tiempo,,,
Piqué,Spain,3,nike,tiempo,,,
Mascherano,Argentina,3,nike,magista,,,
Umtiti,France,3,nike,magista,,,
Godín,Uruguay,3,puma,one,,,
Bonucci,Italy,3,nike,magista,,,
Miranda,Brazil,3,adidas,predator,,,
Chiellini,Italy,3,puma,one,,,
Barzagli,Italy,3,nike,tiempo,,,
Manolas,Greece,3,nike,mercurial,,,
Van Dijk,Netherlands,3,nike,tiempo,,,
Lovren,Croatia,3,nike,tiempo,,,
Cahill,England,3,nike,magista,,,
Verthongen,Belgium,3,nike,tiempo,,,
Alderweireld,Belgium,3,nike,magista,,,
Boateng,Germany,3,nike,tiempo,,,
Hummels,Germany,3,adidas,predator,,,
Thiago Silva,Brazil,3,nike,tiempo,,,
Marquinhos,Brazil,3,nike,magista,,,
Casemiro,Brazil,4,nike,magista,,,
Busquets,Spain,4,nike,magista,,,
Gabi,Spain,4,puma,one,,,
Thomas,Ghana,4,adidas,nemeziz,,,
N'Zonzi,France,4,nike,tiempo,,, 
Khedira,Germany,4,nike,magista,,,
Marchisio,Italy,4,nike,mercurial,,,
De Rossi,Italy,4,adidas,predator,,,
Nainggolan,Belgium,4,nike,mercurial,,,
Henderson,England,4,nike,tiempo,,,
Milner,England,4,nike,magista,,,
Kante,France,4,adidas,x,,,
Mikel,Nigeria,4,nike,mercurial,,,
Fernandinho,Brazil,4,nike,magista,,,
Gündogan,Germany,4,adidas,predator,,,
Martínez,Spain,4,adidas,predator,,,
Rabiot,France,4,adidas,predator,,,
Bakayoko,France,4,nike,mercurial,,,
Fabinho,Brazil,4,adidas,predator,,,
William Carvalho,Portugal,4,nike,magista,,,
Modric,Croatia,5,nike,mercurial,,,
Kroos,Germany,5,adidas,11pro,,,
Isco,Spain,5,nike,mercurial,,,
Rakitic,Croatia,5,adidas,predator,,,
Iniesta,Spain,5,nike,magista,,,
Koke,Spain,5,adidas,predator,,,
Saúl,Spain,5,nike,mercurial,,,
Pjanic,Bosnia,5,adidas,predator,,,
Matuidi,France,5,nike,magista,,,
Wignaldum,Netherlands,5,adidas,nemeziz,,,
Lallana,England,5,puma,future,,,
Pogba,France,5,adidas,predator,,,
Dele Alli,England,5,adidas,predator,,,
Eriksen,Denmark,5,nike,magista,,,
De Bruyne,Belgium,5,nike,magista,,,
Silva,Spain,5,adidas,x,,,
Thiago,Spain,5,nike,hipervenom,,,
Vidal,Chile,5,nike,mercurial,,,
James,Colombia,5,adidas,x,,,
Di Maria,Argentina,5,adidas,x,,,Draxler
Ronaldo,Portugal,6,nike,mercurial,,,
Bale,Wales,6,adidas,x,,,
Asensio,Spain,6,nike,mercurial,,,
Vázquez,Spain,6,adidas,nemeziz,,,
Messi,Argentina,6,adidas,nemeziz,,,
Coutinho,Brazil,6,nike,mercurial,,,Dembele
Griezmann,France,6,puma,future,,,Carrasco
Dybala,Argentina,6,adidas,x,,,Insigne
Mané,Senegal,6,nike,mercurial,,,Mertens
Salah,Egypt,6,adidas,x,,,
Rashford,England,6,nike,hipervenom,,,
Hazard,Belgium,6,nike,mercurial,,,
Willian,Brazil,6,nike,mercurial,,,Sané
Son,South Korea,6,adidas,x,,,Kagawa
Sterling,England,6,nike,hipervenom,,,
Ribery,France,6,nike,mercurial,,,Reus
Robben,Netherlands,6,adidas,x,,,Douglas
Neymar,Brazil,6,nike,mercurial,,,Coman
Mbappé,France,6,nike,mercurial,,,
Fekir,France,6,nike,mercurial,,,
Benzema,France,7,adidas,x,,,Gameiro
Suárez,Uruguay,7,adidas,x,,,Torres
Costa,Spain,7,adidas,x,,,Ben Yedder
Higuaín,Argentina,7,nike,hipervenom,,,
Mandzukic,Croatia,7,nike,hipervenom,,,
Dzeko,Bosnia,7,adidas,x,,,Under
Firmino,Brazil,7,adidas,nemeziz,,,
Origi,Belgium,7,nike,mercurial,,,
Lukaku,Belgium,7,adidas,predator,,,
Giroud,France,7,puma,one,,,
Morata,Spain,7,adidas,x,,,
Aubameyang,Gabon,7,nike,hipervenom,,,
Kane,England,7,nike,hipervenom,,,
Moura,Brazil,7,adidas,x,,,Ibra
Agüero,Argentina,7,puma,one,,,
Jesús,Brazil,7,adidas,x,,,Vardy
Müller,Germany,7,adidas,x,,,
Lewandowski,Poland,7,nike,hipervenom,,,
Cavani,Uruguay,7,nike,hipervenom,,,Wagner
Falcao,Colombia,7,nike,mercurial,,,
